线路名称	优选地址	网络带宽	峰值速度	往返延迟	国家/地区	更新时间
移动	43.174.54.252	5 MB	736 kB/s	117 毫秒	SG	2025-10-15 00:43:35
移动	43.174.57.30	11 MB	1516 kB/s	118 毫秒	SG	2025-10-15 00:43:35
移动	43.174.243.214	24 MB	3193 kB/s	41 毫秒	HK	2025-10-15 00:46:31
移动	43.174.244.227	24 MB	3189 kB/s	44 毫秒	HK	2025-10-15 00:46:31
移动	43.174.244.84	20 MB	2610 kB/s	60 毫秒	HK	2025-10-15 00:52:34
联通	43.159.109.124	55 MB	7112 kB/s	207 毫秒	DE	2025-10-15 00:42:27
联通	43.175.104.177	2 MB	342 kB/s	258 毫秒	US	2025-10-15 00:50:42
联通	43.175.7.89	54 MB	7030 kB/s	190 毫秒	US	2025-10-15 00:50:42
联通	43.175.161.48	11 MB	1459 kB/s	241 毫秒	US	2025-10-15 00:45:44
联通	43.175.165.30	1 MB	226 kB/s	162 毫秒	NL	2025-10-15 00:50:42
