线路名称	优选地址	网络带宽	峰值速度	往返延迟	数据中心	更新时间
移动	104.18.70.40	5 MB	647 kB/s	205 毫秒	SEA	2026-02-15 19:40:39
移动	104.18.185.96	5 MB	647 kB/s	202 毫秒	SEA	2026-02-15 19:30:40
移动	104.18.251.193	5 MB	647 kB/s	213 毫秒	SJC	2026-02-15 19:40:39
移动	104.16.102.214	5 MB	648 kB/s	221 毫秒	SJC	2026-02-15 19:28:39
移动	104.17.163.96	5 MB	647 kB/s	88 毫秒	HKG	2026-02-15 19:32:42
联通	104.21.232.232	5 MB	647 kB/s	131 毫秒	SJC	2026-02-15 19:38:39
联通	104.19.48.125	5 MB	647 kB/s	195 毫秒	LAX	2026-02-15 19:27:42
联通	104.18.70.40	5 MB	647 kB/s	132 毫秒	SJC	2026-02-15 19:40:39
联通	104.17.48.214	5 MB	648 kB/s	132 毫秒	SJC	2026-02-15 19:38:39
联通	104.19.48.95	5 MB	647 kB/s	195 毫秒	LAX	2026-02-15 19:39:44
电信	162.159.45.84	5 MB	647 kB/s	42 毫秒	NRT	2026-02-15 19:30:41
电信	162.159.45.2	5 MB	647 kB/s	57 毫秒	NRT	2026-02-15 19:33:35
电信	162.159.44.209	5 MB	647 kB/s	103 毫秒	NRT	2026-02-15 19:37:35
电信	104.18.46.65	5 MB	647 kB/s	102 毫秒	SIN	2026-02-15 19:34:35
电信	162.159.38.17	5 MB	647 kB/s	103 毫秒	NRT	2026-02-15 19:31:41
